CodeStagiaire,Nom,Prenom,DateNaissance,debutde,dateFin,CodePlanning,CodeFormation,CodePromotion,EmailCampus,SAMAccountName
17582,Odysseus,Meadows,04/08/96,01/01/18,16/05/20,13321,LD6,ASR62,odysseus.meadows2017@campus-eni.ovh,
18285,Hedda,Rojas,18/10/93,19/08/18,07/08/19,14975,LD6,ASR62,hedda.rojas2017@campus-eni.ovh,
16773,Hanae,Herring,15/06/93,22/12/17,17/11/18,12110,LD6,ASR62,hanae.herring2017@campus-eni.ovh,
19510,Ivy,Shaffer,23/06/83,22/04/18,15/08/20,12611,LD6,ASR62,ivy.shaffer2017@campus-eni.ovh,
18671,Cheryl,Montgomery,03/06/91,20/12/17,27/01/20,13197,LD6,ASR62,cheryl.montgomery2017@campus-eni.ovh,
17356,Lyle,Rose,06/07/83,30/10/17,22/11/18,14435,LD6,ASR62,lyle.rose2017@campus-eni.ovh,
16128,Hollee,Wall,02/04/81,08/03/18,27/06/19,12986,LD6,ASR62,hollee.wall2017@campus-eni.ovh,
19417,Maryam,Waller,23/12/80,03/10/17,15/10/19,13246,LD6,ASR62,maryam.waller2017@campus-eni.ovh,
17341,Jaquelyn,Donaldson,28/08/90,27/10/18,17/09/20,12323,LD6,ASR62,jaquelyn.donaldson2017@campus-eni.ovh,
16162,Clinton,Moran,29/10/82,22/01/18,17/12/19,14239,LD6,ASR62,clinton.moran2017@campus-eni.ovh,
17717,Fallon,Schwartz,21/02/81,08/08/18,11/10/19,14799,LD6,ASR62,fallon.schwartz2017@campus-eni.ovh,
16863,Harrison,Mcmillan,20/02/87,12/06/18,02/12/19,14026,LD6,ASR62,harrison.mcmillan2017@campus-eni.ovh,
18488,Autumn,Church,26/04/86,20/06/18,09/04/19,13581,LD6,ASR62,autumn.church2017@campus-eni.ovh,
15275,Hoyt,Dudley,23/01/81,07/12/17,04/08/20,14143,LD6,ASR62,hoyt.dudley2017@campus-eni.ovh,
16962,Demetria,Mcfarland,26/12/00,16/11/17,14/01/19,13575,LD6,ASR62,demetria.mcfarland2017@campus-eni.ovh,
18364,Nomlanga,Carney,21/04/89,16/09/18,31/03/20,14965,LD6,ASR62,nomlanga.carney2017@campus-eni.ovh,
17634,Rebekah,Burns,18/08/96,23/01/18,02/11/18,14274,LD6,ASR62,rebekah.burns2017@campus-eni.ovh,
19518,Yeo,Summers,03/10/93,01/04/18,30/06/19,14283,LD6,ASR62,yeo.summers2017@campus-eni.ovh,
19640,Leonard,Mcbride,11/02/82,10/01/18,24/09/20,12135,LD6,ASR62,leonard.mcbride2017@campus-eni.ovh,
16594,Orson,Finley,04/03/83,05/04/18,26/12/19,12866,LD6,ASR62,orson.finley2017@campus-eni.ovh,
18635,Kirk,Manning,21/07/94,20/06/18,17/10/18,13477,LD6,ASR62,kirk.manning2017@campus-eni.ovh,
17713,Beverly,Conley,11/09/02,31/10/17,29/02/20,14467,LD6,ASR62,beverly.conley2017@campus-eni.ovh,
16780,Lewis,Branch,17/11/99,11/12/17,09/03/20,12692,LD6,ASR62,lewis.branch2017@campus-eni.ovh,
18483,Deirdre,Nunez,24/06/83,11/07/18,26/01/19,12688,LD6,ASR62,deirdre.nunez2017@campus-eni.ovh,
18010,Chester,Odom,08/06/86,30/11/17,31/12/19,12322,LD6,ASR62,chester.odom2017@campus-eni.ovh,
17223,Cruz,Huffman,15/06/92,05/11/17,22/03/20,14065,LD6,ASR62,cruz.huffman2017@campus-eni.ovh,
15950,Cara,Rush,17/11/80,24/10/17,01/07/20,12658,LD6,ASR62,cara.rush2017@campus-eni.ovh,
18404,Samuel,Silva,03/07/95,18/05/18,06/04/20,12558,LD6,ASR62,samuel.silva2017@campus-eni.ovh,
16419,Hasad,Dalton,10/07/99,10/11/17,27/03/19,14542,LD6,ASR62,hasad.dalton2017@campus-eni.ovh,
17177,Wing,Bailey,05/10/84,06/04/18,20/05/19,12941,LD6,ASR62,wing.bailey2017@campus-eni.ovh,
16681,Brian,Coffey,28/10/96,28/09/18,22/07/20,14163,LD6,ASR62,brian.coffey2017@campus-eni.ovh,
16433,Oleg,Ruiz,04/10/92,13/02/18,17/01/20,12007,LD6,ASR62,oleg.ruiz2017@campus-eni.ovh,
18624,Abraham,Petty,01/08/00,13/01/18,22/09/19,13307,LD6,ASR62,abraham.petty2017@campus-eni.ovh,
17743,Stacey,Massey,20/12/86,02/11/17,22/07/19,14825,LD6,ASR62,stacey.massey2017@campus-eni.ovh,
15532,Lars,Acosta,26/08/00,15/04/18,19/09/19,14685,LD6,ASR62,lars.acosta2017@campus-eni.ovh,
18454,Kyra,Harmon,07/07/88,23/10/17,25/05/19,12930,LD6,ASR62,kyra.harmon2017@campus-eni.ovh,
17204,Acton,Acosta,30/07/01,06/12/17,08/06/19,13083,LD6,ASR62,acton.acosta2017@campus-eni.ovh,
15958,Jamalia,Buckner,03/03/95,25/09/18,16/06/19,14731,LD6,ASR62,jamalia.buckner2017@campus-eni.ovh,
16644,Brooke,Woodward,08/04/85,21/02/18,12/01/20,12243,LD6,ASR62,brooke.woodward2017@campus-eni.ovh,
18326,Dorian,Jordan,05/03/97,01/09/18,27/06/20,13198,LD6,ASR62,dorian.jordan2017@campus-eni.ovh,
16777,Nero,Moody,11/01/81,20/10/17,18/04/19,13322,LD6,ASR62,nero.moody2017@campus-eni.ovh,
17232,Jared,Rodriguez,12/05/86,25/07/18,22/07/20,14562,LD6,ASR62,jared.rodriguez2017@campus-eni.ovh,
